Sample Name	Well Position	FAM Ct	VIC Ct	Delta Ct	Omitted	Flag	Replicate Comments	Target	Reference	Plate ID	CN Calculated	CN Predicted	Confidence	|Z-Score|	Replicate Count	Replicates Analyzed	FAM Ct Mean	VIC Ct Mean	Delta Ct Mean	Delta Ct SD	Delta Delta Ct	RQ	Min CN	Max CN	CN Range	Sample Comments
133101.HS04085807	270	24.4441	26.8009	-2.3568			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	3	25.015	26.6792	-1.6642	0.66	13.25	0	0	0	0	 
133101.HS04085807	282	25.7859	26.8262	-1.0403			 																			
133101.HS04085807	366	11.5283	26.7913	-15.2631	x	OCONF	 																			
133101.HS04085807	378	24.815	26.4105	-1.5955			 																			
133102.HS04085807	271	25.0527	26.7209	-1.6682	x	OCONF	 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.21	2			4	3	11.9627	26.4347	-14.4721	0.63	0.44	0.74	1.4	3.31	1.91	 
133102.HS04085807	283	12.7541	26.5632	-13.8091			 																			
133102.HS04085807	367	12.0551	26.6106	-14.5555			 																			
133102.HS04085807	379	11.0787	26.1304	-15.0517			 																			
134101.HS04085807	272	11.6895	26.3188	-14.6293			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3	3			4	3	11.3965	26.3085	-14.9119	0.26	0	1	2.47	3.49	1.02	 
134101.HS04085807	284	11.5799	26.7081	-15.1282			 																			
134101.HS04085807	368	24.7944	30.9361	-6.1417	x	OCONF	 																			
134101.HS04085807	380	10.9202	25.8986	-14.9783			 																			
140812.HS04085807	273	25.0946	26.9837	-1.8891	x	OCONF	 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	1	23.5177	26.4372	-2.9196	0	11.99	0	0	0	0	 
140812.HS04085807	285	11.4402	26.9539	-15.5137	x	OCONF	 																			
140812.HS04085807	369	23.5177	26.4372	-2.9196			 																			
140812.HS04085807	381	11.6736	26.563	-14.8894	x	OCONF	 																			
479_1.HS04085807	246	27.5913	26.9412	0.6501			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	3	26.3353	26.8428	-0.5075	1.88	14.4	0	0	0	0	 
479_1.HS04085807	258	27.3356	26.8263	0.5093			 																			
479_1.HS04085807	342	24.0791	26.7609	-2.6818			 																			
479_1.HS04085807	354	11.2873	26.2124	-14.9251	x	OCONF	 																			
479_2.HS04085807	247	26.5555	27.5852	-1.0297			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	3	26.6381	27.7113	-1.0732	0.31	13.84	0	0	0	0	 
479_2.HS04085807	259	26.862	27.6461	-0.7841			 																			
479_2.HS04085807	343	26.4967	27.9025	-1.4059			 																			
479_2.HS04085807	355	12.4424	27.3213	-14.8789	x	OCONF	 																			
479_3.HS04085807	248	26.0877	27.0878	-1.0001			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	3	26.2493	27.0455	-0.7962	0.36	14.12	0	0	0	0	 
479_3.HS04085807	260	26.5918	26.9669	-0.3751			 																			
479_3.HS04085807	344	26.0685	27.0818	-1.0133			 																			
479_3.HS04085807	356	11.5785	26.6742	-15.0957	x	OCONF	 																			
4999_1.HS04085807	249	11.4685	26.9204	-15.4519			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3.65	4			4	3	11.6035	26.7967	-15.1932	0.32	-0.28	1.22	2.83	4.36	1.53	 
4999_1.HS04085807	261	11.4393	26.7373	-15.2981			 																			
4999_1.HS04085807	345	11.9027	26.7323	-14.8297			 																			
4999_1.HS04085807	357	25.7214	26.4465	-0.7252	x	OCONF	 																			
4999_2.HS04085807	250	25.2803	27.2032	-1.923			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	3	25.8862	27.208	-1.3217	0.53	13.59	0	0	0	0	 
4999_2.HS04085807	262	26.2198	27.1586	-0.9388			 																			
4999_2.HS04085807	346	26.1587	27.262	-1.1034			 																			
4999_2.HS04085807	358	12.0754	27.0922	-15.0168	x	OCONF	 																			
4999_3.HS04085807	251	25.9138	26.8929	-0.9791			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	1	25.9138	26.8929	-0.9791	0	13.93	0	0	0	0	 
4999_3.HS04085807	263	26.5796	26.9328	-0.3531	x	OCONF	 																			
4999_3.HS04085807	347	12.5793	27.0556	-14.4763	x	OCONF	 																			
4999_3.HS04085807	359	11.4454	26.4361	-14.9907	x	OCONF	 																			
A6208 VHK C-s.HS04085807	267	28.4421	30.0168	-1.5747			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	3	27.1657	29.771	-2.6053	1.25	12.31	0	0	0	0	 
A6208 VHK C-s.HS04085807	279	25.7892	29.7784	-3.9891			 																			
A6208 VHK C-s.HS04085807	363	12.9323	30.6265	-17.6942	x	OCONF	 																			
A6208 VHK C-s.HS04085807	375	27.2659	29.5178	-2.252			 																			
A6208 VHK F-s.HS04085807	269	27.4253	28.397	-0.9716	x	OCONF	 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	1	25.7836	28.2319	-2.4483	0	12.46	0	0	0	0	 
A6208 VHK F-s.HS04085807	281	25.7836	28.2319	-2.4483			 																			
A6208 VHK F-s.HS04085807	365	11.5189	28.4188	-16.8999	x	OCONF	 																			
A6208 VHK F-s.HS04085807	377	11.7426	27.892	-16.1494	x	OCONF	 																			
A6208 VHK M-B.HS04085807	268	24.6532	27.4781	-2.8249			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	3	26.5398	27.2737	-0.734	1.83	14.18	0	0	0	0	 
A6208 VHK M-B.HS04085807	280	27.8908	27.3011	0.5898			 																			
A6208 VHK M-B.HS04085807	364	12.2755	27.5501	-15.2746	x	OCONF	 																			
A6208 VHK M-B.HS04085807	376	27.0752	27.042	0.0332			 																			
CSc390_1.HS04085807	252	28.6277	28.2738	0.3539			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	4	28.659	28.4302	0.2289	0.63	15.14	0	0	0	0	 
CSc390_1.HS04085807	264	28.0567	28.7436	-0.6869			 																			
CSc390_1.HS04085807	348	29.2421	28.5583	0.6838			 																			
CSc390_1.HS04085807	360	28.7095	28.1449	0.5646			 																			
CSc390_2.HS04085807	265	25.3384	26.5862	-1.2479			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	4	24.853	26.4806	-1.6277	0.55	13.28	0	0	0	0	 
CSc390_2.HS04085807	277	24.4924	26.6848	-2.1923			 																			
CSc390_2.HS04085807	361	24.5979	26.5958	-1.9978			 																			
CSc390_2.HS04085807	373	24.9831	26.0557	-1.0726			 																			
CSc390_3.HS04085807	266	26.5526	26.9329	-0.3803			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	3	26.0811	26.7082	-0.627	0.72	14.28	0	0	0	0	 
CSc390_3.HS04085807	278	25.3661	26.8063	-1.4402			 																			
CSc390_3.HS04085807	362	12.9051	27.0406	-14.1355	x	OCONF	 																			
CSc390_3.HS04085807	374	26.3247	26.3853	-0.0606			 																			
NTC.HS04085807	274	39.6631	38.6955	0.9676	x	NTC	 	Taqman Copy Number Assay	Taqman Copy Number Reference						4	0										 
NTC.HS04085807	286	38.6093	undetermined	undetermined	x	NTC	 																			
NTC.HS04085807	370	37.6871	undetermined	undetermined	x	NTC	 																			
NTC.HS04085807	382	39.5914	undetermined	undetermined	x	NTC	 																			
pu262-01.HS04085807	195	27.2195	27.565	-0.3455			 	Taqman Copy Number Assay	Taqman Copy Number Reference		0	0			4	3	26.7851	27.2001	-0.415	0.09	14.5	0	0	0	0	 
pu262-01.HS04085807	207	12.4373	27.3721	-14.9348	x	OCONF	 																			
pu262-01.HS04085807	291	26.9217	27.4437	-0.522			 																			
pu262-01.HS04085807	303	26.2141	26.5915	-0.3774			 																			
