Sample Name	Well Position	FAM Ct	VIC Ct	Delta Ct	Omitted	Flag	Replicate Comments	Target	Reference	Plate ID	CN Calculated	CN Predicted	Confidence	|Z-Score|	Replicate Count	Replicates Analyzed	FAM Ct Mean	VIC Ct Mean	Delta Ct Mean	Delta Ct SD	Delta Delta Ct	RQ	Min CN	Max CN	CN Range	Sample Comments
133101.HS01512766	270	26.683	26.6988	-0.0158			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.95	2	> 0.99	0.08	4	4	26.5609	26.5086	0.0524	0.1	0.04	0.98	1.75	2.04	0.29	 
133101.HS01512766	282	27.1176	26.9114	0.2062			 																			
133101.HS01512766	366	26.6443	26.6466	-0.0023			 																			
133101.HS01512766	378	25.7988	25.7775	0.0213			 																			
133102.HS01512766	271	26.4402	26.3979	0.0423			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.09	2	> 0.99	0.37	4	3	26.1422	26.1865	-0.0443	0.08	-0.06	1.04	1.96	2.17	0.21	 
133102.HS01512766	283	undetermined	10.3098	undetermined	x	NOFAM	 																			
133102.HS01512766	367	26.4094	26.5138	-0.1044			 																			
133102.HS01512766	379	25.5772	25.6478	-0.0706			 																			
134101.HS01512766	272	26.5852	26.5353	0.0499			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.97	2	> 0.99	0.13	4	4	26.34	26.3	0.0401	0.01	0.02	0.98	1.95	2	0.04	 
134101.HS01512766	284	26.4636	26.414	0.0496			 																			
134101.HS01512766	368	26.511	26.4688	0.0422			 																			
134101.HS01512766	380	25.8003	25.7817	0.0186			 																			
140812.HS01512766	273	26.9348	26.9405	-0.0057			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.88	2	> 0.99	0.33	4	4	26.8717	26.7654	0.1063	0.14	0.09	0.94	1.66	2.03	0.37	 
140812.HS01512766	285	26.958	26.6699	0.2881			 																			
140812.HS01512766	369	27.0083	26.9963	0.012			 																			
140812.HS01512766	381	26.5857	26.4548	0.1309			 																			
479_1.HS01512766	246	26.9228	26.9256	-0.0028			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.98	2	> 0.99	0.04	4	4	26.4375	26.4105	0.027	0.03	0.01	0.99	1.94	2.03	0.08	 
479_1.HS01512766	258	26.707	26.7021	0.005			 																			
479_1.HS01512766	342	26.6072	26.5597	0.0475			 																			
479_1.HS01512766	354	25.5131	25.4548	0.0584			 																			
479_2.HS01512766	247	27.2303	27.2016	0.0287			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.04	2	> 0.99	0.05	4	4	26.9437	26.9567	-0.0131	0.12	-0.03	1.02	1.85	2.26	0.41	 
479_2.HS01512766	259	27.1803	27.0494	0.1308			 																			
479_2.HS01512766	343	27.1827	27.3414	-0.1587			 																			
479_2.HS01512766	355	26.1813	26.2344	-0.0531			 																			
479_3.HS01512766	248	27.0101	27.0782	-0.0681			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.02	2	> 0.99	0.07	4	4	26.7477	26.7474	0.0003	0.08	-0.02	1.01	1.87	2.12	0.25	 
479_3.HS01512766	260	26.7287	26.7246	0.0041			 																			
479_3.HS01512766	344	26.9167	26.8021	0.1146			 																			
479_3.HS01512766	356	26.3355	26.3847	-0.0493			 																			
4999_1.HS01512766	249	26.7059	26.7358	-0.0299			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.13	2	> 0.99	0.64	4	4	26.2626	26.3353	-0.0727	0.09	-0.09	1.06	2.04	2.33	0.29	 
4999_1.HS01512766	261	26.3572	26.3693	-0.012			 																			
4999_1.HS01512766	345	26.2676	26.4742	-0.2066			 																			
4999_1.HS01512766	357	25.7198	25.7621	-0.0423			 																			
4999_2.HS01512766	250	27.1988	27.1243	0.0745			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.09	2	> 0.99	0.27	4	4	26.9375	26.9833	-0.0459	0.13	-0.06	1.04	1.92	2.37	0.45	 
4999_2.HS01512766	262	27.2098	27.2008	0.009			 																			
4999_2.HS01512766	346	27.0713	27.3023	-0.231			 																			
4999_2.HS01512766	358	26.2699	26.3059	-0.036			 																			
4999_3.HS01512766	251	26.92	26.8314	0.0886			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.04	2	> 0.99	0.17	4	4	26.6647	26.6746	-0.0099	0.07	-0.03	1.02	1.9	2.15	0.25	 
4999_3.HS01512766	263	26.7814	26.8703	-0.0888			 																			
4999_3.HS01512766	347	26.7793	26.7817	-0.0023			 																			
4999_3.HS01512766	359	26.178	26.2152	-0.0372			 																			
